t,state,qr,qe,demand,inventory,period_cost,demand_low,demand_high,avg_sim_cost,dp_value
49,"(2, 3, 1)",0,1,1,5,30.0,0,3,19.200000762939453,20.424927536002183
0,"(6, 0, 0)",4,0,3,3,15.0,0,4,25.200000762939453,26.702391790741192
1,"(3, 4, 1)",0,1,1,7,35.0,0,4,25.200000762939453,26.702391790741192
2,"(7, 0, 0)",3,0,1,6,30.0,0,4,25.200000762939453,26.702391790741192
3,"(6, 3, 1)",0,0,3,6,15.0,0,4,25.200000762939453,26.702391790741192
4,"(6, 0, 0)",4,0,1,5,25.0,0,4,25.200000762939453,26.702391790741192
5,"(5, 4, 1)",0,0,1,8,20.0,0,4,25.200000762939453,26.702391790741192
6,"(8, 0, 0)",3,0,1,7,35.0,0,4,25.200000762939453,26.702391790741192
7,"(7, 3, 1)",0,0,1,9,30.0,0,4,25.200000762939453,26.702391790741192
8,"(9, 0, 0)",2,0,1,8,40.0,0,4,25.200000762939453,26.702391790741192
9,"(8, 2, 1)",0,0,1,9,35.0,0,4,25.200000762939453,26.702391790741192
10,"(9, 0, 0)",2,0,3,6,30.0,0,4,25.200000762939453,26.702391790741192
11,"(6, 2, 1)",0,0,0,8,30.0,0,4,25.200000762939453,26.702391790741192
12,"(8, 0, 0)",3,0,0,8,40.0,0,4,25.200000762939453,26.702391790741192
13,"(8, 3, 1)",0,0,2,9,30.0,0,4,25.200000762939453,26.702391790741192
14,"(9, 0, 0)",2,0,2,7,35.0,0,4,25.200000762939453,26.702391790741192
15,"(7, 2, 1)",0,0,3,6,20.0,0,4,25.200000762939453,26.702391790741192
16,"(6, 0, 0)",4,0,0,6,30.0,0,4,25.200000762939453,26.702391790741192
17,"(6, 4, 1)",0,0,3,7,15.0,0,4,25.200000762939453,26.702391790741192
18,"(7, 0, 0)",3,0,3,4,20.0,0,4,25.200000762939453,26.702391790741192
19,"(4, 3, 1)",0,0,3,4,5.0,0,4,25.200000762939453,26.702391790741192
20,"(4, 0, 0)",4,0,0,4,20.0,0,4,25.200000762939453,26.702391790741192
21,"(4, 4, 1)",0,0,1,7,15.0,0,4,25.200000762939453,26.702391790741192
22,"(7, 0, 0)",3,0,0,7,35.0,0,4,25.200000762939453,26.702391790741192
23,"(7, 3, 1)",0,0,0,10,35.0,0,4,25.200000762939453,26.702391790741192
24,"(10, 0, 0)",1,0,3,7,35.0,0,4,25.200000762939453,26.702391790741192
25,"(7, 1, 1)",0,0,2,6,25.0,0,4,25.200000762939453,26.702391790741192
26,"(6, 0, 0)",4,0,3,3,15.0,0,4,25.200000762939453,26.702391790741192
27,"(3, 4, 1)",0,1,1,7,35.0,0,4,25.200000762939453,26.702391790741192
28,"(7, 0, 0)",3,0,2,5,25.0,0,4,25.200000762939453,26.702391790741192
29,"(5, 3, 1)",0,0,0,8,25.0,0,4,25.200000762939453,26.702391790741192
