t,state,qr,qe,demand,inventory,period_cost,demand_low,demand_high,avg_sim_cost,dp_value
0,"(6, 0, 0)",3,0,2,4,20.0,0,3,22.433332443237305,23.055089579379153
1,"(4, 3, 1)",0,0,1,6,15.0,0,3,22.433332443237305,23.055089579379153
2,"(6, 0, 2)",0,0,0,6,30.0,0,3,22.433332443237305,23.055089579379153
3,"(6, 0, 0)",3,0,2,4,20.0,0,3,22.433332443237305,23.055089579379153
4,"(4, 3, 1)",0,0,0,7,20.0,0,3,22.433332443237305,23.055089579379153
5,"(7, 0, 2)",0,0,1,6,30.0,0,3,22.433332443237305,23.055089579379153
6,"(6, 0, 0)",3,0,1,5,25.0,0,3,22.433332443237305,23.055089579379153
7,"(5, 3, 1)",0,0,1,7,20.0,0,3,22.433332443237305,23.055089579379153
8,"(7, 0, 2)",0,0,1,6,30.0,0,3,22.433332443237305,23.055089579379153
9,"(6, 0, 0)",3,0,1,5,25.0,0,3,22.433332443237305,23.055089579379153
10,"(5, 3, 1)",0,0,2,6,15.0,0,3,22.433332443237305,23.055089579379153
11,"(6, 0, 2)",0,0,0,6,30.0,0,3,22.433332443237305,23.055089579379153
12,"(6, 0, 0)",3,0,0,6,30.0,0,3,22.433332443237305,23.055089579379153
13,"(6, 3, 1)",0,0,2,7,20.0,0,3,22.433332443237305,23.055089579379153
14,"(7, 0, 2)",0,0,2,5,25.0,0,3,22.433332443237305,23.055089579379153
15,"(5, 0, 0)",3,0,3,2,10.0,0,3,22.433332443237305,23.055089579379153
16,"(2, 3, 1)",0,1,0,6,35.0,0,3,22.433332443237305,23.055089579379153
17,"(6, 0, 2)",0,0,2,4,20.0,0,3,22.433332443237305,23.055089579379153
18,"(4, 0, 0)",3,0,3,1,5.0,0,3,22.433332443237305,23.055089579379153
19,"(1, 3, 1)",0,2,3,3,40.0,0,3,22.433332443237305,23.055089579379153
20,"(3, 0, 2)",0,0,0,3,15.0,0,3,22.433332443237305,23.055089579379153
21,"(3, 0, 0)",3,0,1,2,10.0,0,3,22.433332443237305,23.055089579379153
22,"(2, 3, 1)",0,1,0,6,35.0,0,3,22.433332443237305,23.055089579379153
23,"(6, 0, 2)",0,0,0,6,30.0,0,3,22.433332443237305,23.055089579379153
24,"(6, 0, 0)",3,0,3,3,15.0,0,3,22.433332443237305,23.055089579379153
25,"(3, 3, 1)",0,0,1,5,10.0,0,3,22.433332443237305,23.055089579379153
26,"(5, 0, 2)",0,0,2,3,15.0,0,3,22.433332443237305,23.055089579379153
27,"(3, 0, 0)",3,0,0,3,15.0,0,3,22.433332443237305,23.055089579379153
28,"(3, 3, 1)",0,0,2,4,5.0,0,3,22.433332443237305,23.055089579379153
29,"(4, 0, 2)",0,0,0,4,20.0,0,3,22.433332443237305,23.055089579379153
30,"(4, 0, 0)",3,0,2,2,10.0,0,3,22.433332443237305,23.055089579379153
31,"(2, 3, 1)",0,1,1,5,30.0,0,3,22.433332443237305,23.055089579379153
32,"(5, 0, 2)",0,0,1,4,20.0,0,3,22.433332443237305,23.055089579379153
33,"(4, 0, 0)",3,0,0,4,20.0,0,3,22.433332443237305,23.055089579379153
34,"(4, 3, 1)",0,0,2,5,10.0,0,3,22.433332443237305,23.055089579379153
35,"(5, 0, 2)",0,0,3,2,10.0,0,3,22.433332443237305,23.055089579379153
36,"(2, 0, 0)",3,1,2,1,25.0,0,3,22.433332443237305,23.055089579379153
