t,state,qr,qe,demand,inventory,period_cost,demand_low,demand_high,avg_sim_cost,dp_value
21,"(8, 0, 1)",3,0,1,7,35.0,0,4,26.200000762939453,26.702391790741192
22,"(7, 3, 0)",0,0,0,10,35.0,0,4,26.200000762939453,26.702391790741192
23,"(10, 0, 1)",1,0,0,10,50.0,0,4,26.200000762939453,26.702391790741192
24,"(10, 1, 0)",0,0,3,8,35.0,0,4,26.200000762939453,26.702391790741192
25,"(8, 0, 1)",3,0,2,6,30.0,0,4,26.200000762939453,26.702391790741192
26,"(6, 3, 0)",0,0,3,6,15.0,0,4,26.200000762939453,26.702391790741192
27,"(6, 0, 1)",4,0,1,5,25.0,0,4,26.200000762939453,26.702391790741192
28,"(5, 4, 0)",0,0,2,7,15.0,0,4,26.200000762939453,26.702391790741192
29,"(7, 0, 1)",3,0,0,7,35.0,0,4,26.200000762939453,26.702391790741192
30,"(7, 3, 0)",0,0,3,7,20.0,0,4,26.200000762939453,26.702391790741192
31,"(7, 0, 1)",3,0,1,6,30.0,0,4,26.200000762939453,26.702391790741192
32,"(6, 3, 0)",0,0,1,8,25.0,0,4,26.200000762939453,26.702391790741192
33,"(8, 0, 1)",3,0,0,8,40.0,0,4,26.200000762939453,26.702391790741192
34,"(8, 3, 0)",0,0,2,9,30.0,0,4,26.200000762939453,26.702391790741192
35,"(9, 0, 1)",2,0,4,5,25.0,0,4,26.200000762939453,26.702391790741192
36,"(5, 2, 0)",0,0,3,4,10.0,0,4,26.200000762939453,26.702391790741192
37,"(4, 0, 1)",4,0,1,3,15.0,0,4,26.200000762939453,26.702391790741192
38,"(3, 4, 0)",0,1,2,6,30.0,0,4,26.200000762939453,26.702391790741192
39,"(6, 0, 1)",4,0,2,4,20.0,0,4,26.200000762939453,26.702391790741192
40,"(4, 4, 0)",0,0,0,8,20.0,0,4,26.200000762939453,26.702391790741192
41,"(8, 0, 1)",3,0,4,4,20.0,0,4,26.200000762939453,26.702391790741192
42,"(4, 3, 0)",0,0,2,5,10.0,0,4,26.200000762939453,26.702391790741192
43,"(5, 0, 1)",4,0,3,2,10.0,0,4,26.200000762939453,26.702391790741192
44,"(2, 4, 0)",0,2,1,7,55.0,0,4,26.200000762939453,26.702391790741192
45,"(7, 0, 1)",3,0,1,6,30.0,0,4,26.200000762939453,26.702391790741192
46,"(6, 3, 0)",0,0,2,7,20.0,0,4,26.200000762939453,26.702391790741192
47,"(7, 0, 1)",3,0,3,4,20.0,0,4,26.200000762939453,26.702391790741192
48,"(4, 3, 0)",0,0,3,4,5.0,0,4,26.200000762939453,26.702391790741192
49,"(4, 0, 1)",4,0,1,3,15.0,0,4,26.200000762939453,26.702391790741192
0,"(6, 0, 0)",0,0,5,1,5.0,2,6,33.5,36.90184324474275
1,"(1, 0, 1)",6,5,3,3,115.0,2,6,33.5,36.90184324474275
2,"(3, 6, 0)",0,3,3,9,75.0,2,6,33.5,36.90184324474275
3,"(9, 0, 1)",6,0,5,4,20.0,2,6,33.5,36.90184324474275
4,"(4, 6, 0)",0,2,3,9,55.0,2,6,33.5,36.90184324474275
5,"(9, 0, 1)",6,0,3,6,30.0,2,6,33.5,36.90184324474275
6,"(6, 6, 0)",0,0,3,9,15.0,2,6,33.5,36.90184324474275
7,"(9, 0, 1)",6,0,3,6,30.0,2,6,33.5,36.90184324474275
8,"(6, 6, 0)",0,0,3,9,15.0,2,6,33.5,36.90184324474275
9,"(9, 0, 1)",6,0,3,6,30.0,2,6,33.5,36.90184324474275
10,"(6, 6, 0)",0,0,5,7,5.0,2,6,33.5,36.90184324474275
11,"(7, 0, 1)",6,0,2,5,25.0,2,6,33.5,36.90184324474275
12,"(5, 6, 0)",0,1,2,10,40.0,2,6,33.5,36.90184324474275
13,"(10, 0, 1)",6,0,4,6,30.0,2,6,33.5,36.90184324474275
14,"(6, 6, 0)",0,0,4,8,10.0,2,6,33.5,36.90184324474275
15,"(8, 0, 1)",6,0,5,3,15.0,2,6,33.5,36.90184324474275
16,"(3, 6, 0)",0,3,2,10,80.0,2,6,33.5,36.90184324474275
17,"(10, 0, 1)",6,0,5,5,25.0,2,6,33.5,36.90184324474275
18,"(5, 6, 0)",0,1,5,7,25.0,2,6,33.5,36.90184324474275
19,"(7, 0, 1)",6,0,5,2,10.0,2,6,33.5,36.90184324474275
20,"(2, 6, 0)",0,4,2,10,100.0,2,6,33.5,36.90184324474275
21,"(10, 0, 1)",6,0,3,7,35.0,2,6,33.5,36.90184324474275
22,"(7, 6, 0)",0,0,2,11,25.0,2,6,33.5,36.90184324474275
23,"(11, 0, 1)",6,0,2,9,45.0,2,6,33.5,36.90184324474275
24,"(9, 6, 0)",0,0,5,10,20.0,2,6,33.5,36.90184324474275
25,"(10, 0, 1)",6,0,4,6,30.0,2,6,33.5,36.90184324474275
26,"(6, 6, 0)",0,0,5,7,5.0,2,6,33.5,36.90184324474275
27,"(7, 0, 1)",6,0,3,4,20.0,2,6,33.5,36.90184324474275
28,"(4, 6, 0)",0,2,4,8,50.0,2,6,33.5,36.90184324474275
29,"(8, 0, 1)",6,0,2,6,30.0,2,6,33.5,36.90184324474275
30,"(6, 6, 0)",0,0,5,7,5.0,2,6,33.5,36.90184324474275
31,"(7, 0, 1)",6,0,3,4,20.0,2,6,33.5,36.90184324474275
32,"(4, 6, 0)",0,2,3,9,55.0,2,6,33.5,36.90184324474275
33,"(9, 0, 1)",6,0,2,7,35.0,2,6,33.5,36.90184324474275
34,"(7, 6, 0)",0,0,4,9,15.0,2,6,33.5,36.90184324474275
35,"(9, 0, 1)",6,0,6,3,15.0,2,6,33.5,36.90184324474275
36,"(3, 6, 0)",0,3,5,7,65.0,2,6,33.5,36.90184324474275
37,"(7, 0, 1)",6,0,3,4,20.0,2,6,33.5,36.90184324474275
38,"(4, 6, 0)",0,2,4,8,50.0,2,6,33.5,36.90184324474275
39,"(8, 0, 1)",6,0,4,4,20.0,2,6,33.5,36.90184324474275
40,"(4, 6, 0)",0,2,2,10,60.0,2,6,33.5,36.90184324474275
41,"(10, 0, 1)",6,0,6,4,20.0,2,6,33.5,36.90184324474275
42,"(4, 6, 0)",0,2,4,8,50.0,2,6,33.5,36.90184324474275
43,"(8, 0, 1)",6,0,5,3,15.0,2,6,33.5,36.90184324474275
44,"(3, 6, 0)",0,3,3,9,75.0,2,6,33.5,36.90184324474275
45,"(9, 0, 1)",6,0,3,6,30.0,2,6,33.5,36.90184324474275
46,"(6, 6, 0)",0,0,4,8,10.0,2,6,33.5,36.90184324474275
47,"(8, 0, 1)",6,0,5,3,15.0,2,6,33.5,36.90184324474275
48,"(3, 6, 0)",0,3,5,7,65.0,2,6,33.5,36.90184324474275
49,"(7, 0, 1)",6,0,3,4,20.0,2,6,33.5,36.90184324474275
