# iteration,run time [seconds],cost
21500,640.23,16.889715354
21600,643.20,16.889655192
21700,646.16,16.889595585
21800,649.13,16.889536525
21900,652.09,16.889478004
22000,655.06,16.889420015
22100,658.03,16.889362551
22200,661.01,16.889305605
22300,664.00,16.889249169
22400,666.98,16.889193237
22500,669.95,16.889137802
22600,672.98,16.889082858
22700,675.95,16.889028398
22800,678.92,16.888974416
22900,681.89,16.888920905
23000,684.86,16.888867859
23100,687.83,16.888815272
23200,690.80,16.888763139
23300,693.77,16.888711454
23400,696.74,16.888660210
23500,699.69,16.888609402
23600,702.65,16.888559025
23700,705.60,16.888509073
23800,708.56,16.888459540
23900,711.52,16.888410422
24000,714.47,16.888361714
24100,717.42,16.888313409
24200,720.38,16.888265504
24300,723.34,16.888217993
24400,726.29,16.888170872
24500,729.26,16.888124135
24600,732.22,16.888077778
24700,735.17,16.888031796
24800,738.13,16.887986185
24900,741.08,16.887940941
25000,744.03,16.887896058
25100,746.98,16.887851534
25200,749.93,16.887807362
25300,752.87,16.887763540
25400,755.82,16.887720062
25500,758.77,16.887676926
25600,761.71,16.887634127
25700,764.66,16.887591660
25800,767.62,16.887549523
25900,770.58,16.887507712
26000,773.54,16.887466222
26100,776.49,16.887425049
26200,779.45,16.887384191
26300,782.41,16.887343644
26400,785.36,16.887303404
26500,788.31,16.887263468
26600,791.26,16.887223832
26700,794.21,16.887184492
26800,797.16,16.887145447
26900,800.10,16.887106691
27000,803.06,16.887068223
27100,806.04,16.887030039
27200,808.99,16.886992135
27300,811.94,16.886954509
27400,814.88,16.886917158
27500,817.83,16.886880078
27600,820.77,16.886843267
27700,823.71,16.886806722
27800,826.66,16.886770439
27900,829.62,16.886734417
28000,832.56,16.886698652
28100,835.51,16.886663142
28200,838.46,16.886627883
28300,841.42,16.886592874
28400,844.37,16.886558111
28500,847.34,16.886523592
28600,850.29,16.886489314
28700,853.25,16.886455276
28800,856.21,16.886421473
28900,859.16,16.886387905
29000,862.13,16.886354568
29100,865.08,16.886321460
29200,868.05,16.886288579
29300,871.00,16.886255923
29400,873.96,16.886223488
29500,876.91,16.886191274
29600,879.85,16.886159277
29700,882.80,16.886127495
29800,885.75,16.886095927
29900,888.71,16.886064570
30000,891.67,16.886033422
30100,894.64,16.886002481
30200,897.62,16.885971745
30300,900.59,16.885941212
30400,903.56,16.885910879
30500,906.52,16.885880746
30600,909.47,16.885850809
30700,912.43,16.885821068
30800,915.39,16.885791519
30900,918.34,16.885762162
31000,921.30,16.885732995
31100,924.26,16.885704014
31200,927.22,16.885675220
31300,930.18,16.885646610
31400,933.14,16.885618181
31500,936.10,16.885589934
31600,939.06,16.885561865
31700,942.01,16.885533973
31800,944.98,16.885506256
31900,947.93,16.885478714
32000,950.89,16.885451343
32100,953.84,16.885424143
32200,956.80,16.885397112
32300,959.77,16.885370248
32400,962.76,16.885343551
32500,965.72,16.885317017
32600,968.67,16.885290646
32700,971.64,16.885264437
32800,974.61,16.885238387
32900,977.59,16.885212495
33000,980.55,16.885186761
33100,983.51,16.885161182
33200,986.47,16.885135757
33300,989.43,16.885110485
33400,992.40,16.885085364
33500,995.37,16.885060393
33600,998.34,16.885035571
33700,1001.31,16.885010896
33800,1004.27,16.884986367
33900,1007.23,16.884961983
34000,1010.17,16.884937742
34100,1013.12,16.884913643
34200,1016.07,16.884889686
34300,1019.03,16.884865868
34400,1022.00,16.884842188
34500,1024.97,16.884818646
34600,1027.94,16.884795240
34700,1030.90,16.884771968
34800,1033.86,16.884748831
34900,1036.83,16.884725826
35000,1039.79,16.884702952
35100,1042.74,16.884680209
35200,1045.68,16.884657595
35300,1048.64,16.884635109
35400,1051.60,16.884612751
35500,1054.56,16.884590518
35600,1057.51,16.884568410
35700,1060.48,16.884546426
35800,1063.45,16.884524564
35900,1066.39,16.884502825
36000,1069.35,16.884481206
36100,1072.29,16.884459707
36200,1075.22,16.884438327
36300,1078.14,16.884417065
36400,1081.07,16.884395919
36500,1083.99,16.884374889
36600,1086.94,16.884353975
36700,1089.88,16.884333174
36800,1092.81,16.884312486
36900,1095.74,16.884291910
37000,1098.67,16.884271446
37100,1101.60,16.884251092
37200,1104.53,16.884230847
37300,1107.47,16.884210711
37400,1110.40,16.884190683
37500,1113.34,16.884170761
37600,1116.29,16.884150945
37700,1119.23,16.884131235
37800,1122.16,16.884111628
37900,1125.09,16.884092126
38000,1128.03,16.884072725
38100,1130.99,16.884053427
38200,1133.95,16.884034230
38300,1136.93,16.884015133
38400,1139.89,16.883996135
38500,1142.85,16.883977236
38600,1145.82,16.883958435
38700,1148.92,16.883939731
38800,1151.89,16.883921124
38900,1154.85,16.883902612
39000,1157.81,16.883884196
39100,1160.84,16.883865873
39200,1163.90,16.883847644
39300,1166.85,16.883829507
39400,1169.79,16.883811463
39500,1172.74,16.883793510
39600,1175.69,16.883775648
39700,1178.65,16.883757876
39800,1181.61,16.883740193
39900,1184.56,16.883722598
40000,1187.49,16.883705092
40100,1190.43,16.883687673
40200,1193.36,16.883670340
40300,1196.31,16.883653094
40400,1199.24,16.883635933
40500,1202.19,16.883618857
40600,1205.12,16.883601864
40700,1208.06,16.883584956
40800,1210.99,16.883568130
40900,1213.93,16.883551386
41000,1216.86,16.883534725
41100,1219.80,16.883518144
41200,1222.75,16.883501644
41300,1225.71,16.883485223
41400,1228.69,16.883468882
41500,1231.65,16.883452620
41600,1234.60,16.883436436
41700,1237.59,16.883420329
41800,1240.57,16.883404300
41900,1243.54,16.883388347
42000,1246.50,16.883372470
42100,1249.46,16.883356668
42200,1252.42,16.883340942
42300,1255.38,16.883325290
42400,1258.35,16.883309711
42500,1261.30,16.883294206
42600,1264.26,16.883278774
42700,1267.22,16.883263414
42800,1270.17,16.883248125
42900,1273.12,16.883232908
43000,1276.07,16.883217762
43100,1279.01,16.883202686
43200,1281.97,16.883187680
43300,1284.92,16.883172743
43400,1287.88,16.883157875
43500,1290.83,16.883143075
43600,1293.78,16.883128343
43700,1296.74,16.883113679
43800,1299.71,16.883099082
43900,1302.67,16.883084551
44000,1305.64,16.883070086
44100,1308.60,16.883055687
44200,1311.57,16.883041353
44300,1314.52,16.883027083
44400,1317.48,16.883012878
44500,1320.45,16.882998737
44600,1323.42,16.882984659
44700,1326.38,16.882970644
44800,1329.35,16.882956692
44900,1332.33,16.882942801
45000,1335.30,16.882928973
45100,1338.27,16.882915206
45200,1341.24,16.882901500
45300,1344.21,16.882887854
45400,1347.18,16.882874268
45500,1350.14,16.882860743
45600,1353.11,16.882847276
45700,1356.08,16.882833868
45800,1359.05,16.882820519
45900,1362.02,16.882807229
46000,1364.99,16.882793995
46100,1367.96,16.882780820
46200,1370.93,16.882767701
46300,1373.90,16.882754639
46400,1376.87,16.882741633
46500,1379.84,16.882728684
46600,1382.80,16.882715789
46700,1385.78,16.882702951
46800,1388.77,16.882690166
46900,1391.75,16.882677437
47000,1394.74,16.882664761
47100,1397.71,16.882652140
47200,1400.68,16.882639572
47300,1403.64,16.882627057
47400,1406.61,16.882614595
47500,1409.59,16.882602185
47600,1412.55,16.882589827
47700,1415.52,16.882577522
47800,1418.48,16.882565267
47900,1421.46,16.882553064
48000,1424.44,16.882540912
48100,1427.41,16.882528810
48200,1430.38,16.882516759
48300,1433.35,16.882504757
48400,1436.33,16.882492805
48500,1439.29,16.882480903
48600,1442.26,16.882469049
48700,1445.24,16.882457244
48800,1448.21,16.882445487
48900,1451.19,16.882433778
49000,1454.17,16.882422118
49100,1457.15,16.882410504
49200,1460.13,16.882398938
49300,1463.11,16.882387419
49400,1466.10,16.882375947
49500,1469.08,16.882364520
