# iteration,run time [seconds],cost
100,3.68,27.318660792
200,6.73,25.814485065
300,9.78,25.309761649
400,12.82,25.056770609
500,15.87,24.904773997
600,19.00,24.803358620
700,22.11,24.730877730
800,25.17,24.676494441
900,28.23,24.634182913
1000,31.31,24.600325238
1100,34.46,24.572617912
1200,37.54,24.549524629
1300,40.63,24.529981428
1400,43.68,24.513228120
1500,46.73,24.498707098
1600,49.79,24.486000070
1700,52.87,24.474787108
1800,55.90,24.464819338
1900,58.94,24.455900256
2000,61.99,24.447872636
2100,65.02,24.440609187
2200,68.08,24.434005752
2300,71.12,24.427976279
2400,74.17,24.422449053
2500,77.21,24.417363829
2600,80.25,24.412669624
2700,83.30,24.408323011
2800,86.37,24.404286758
2900,89.40,24.400528772
3000,92.46,24.397021235
3100,95.51,24.393739917
3200,98.55,24.390663618
3300,101.60,24.387773705
3400,104.65,24.385053737
3500,107.75,24.382489151
3600,110.82,24.380067002
3700,113.87,24.377775745
3800,116.92,24.375605049
3900,119.96,24.373545642
4000,122.99,24.371589179
4100,126.04,24.369728131
4200,129.10,24.367955683
4300,132.17,24.366265655
4400,135.23,24.364652429
4500,138.28,24.363110886
4600,141.32,24.361636352
4700,144.37,24.360224551
4800,147.41,24.358871563
4900,150.47,24.357573787
5000,153.51,24.356327912
5100,156.55,24.355130885
5200,159.61,24.353979889
5300,162.70,24.352872319
5400,165.78,24.351805762
5500,168.87,24.350777982
5600,171.97,24.349786902
5700,175.05,24.348830590
5800,178.14,24.347907249
5900,181.22,24.347015203
6000,184.29,24.346152886
6100,187.35,24.345318838
6200,190.40,24.344511689
6300,193.44,24.343730161
6400,196.48,24.342973051
6500,199.51,24.342239234
6600,202.54,24.341527650
6700,205.59,24.340837304
6800,208.63,24.340167260
6900,211.66,24.339516634
7000,214.70,24.338884595
7100,217.75,24.338270358
7200,220.78,24.337673180
7300,223.83,24.337092361
7400,226.88,24.336527237
7500,229.93,24.335977182
7600,232.99,24.335441600
7700,236.03,24.334919927
7800,239.08,24.334411629
7900,242.12,24.333916197
8000,245.17,24.333433150
8100,248.21,24.332962028
8200,251.25,24.332502396
8300,254.30,24.332053838
8400,257.33,24.331615958
8500,260.36,24.331188381
8600,263.41,24.330770745
8700,266.44,24.330362710
8800,269.48,24.329963947
8900,272.52,24.329574144
