# iteration,run time [seconds],cost
100,3.53,23.150279181
200,6.49,21.752653387
300,9.45,21.283682606
400,12.42,21.048612464
500,15.39,20.907382698
600,18.36,20.813151190
700,21.32,20.745804563
800,24.30,20.695273574
900,27.26,20.655959230
1000,30.21,20.624499900
1100,33.18,20.598755253
1200,36.13,20.577297808
1300,39.10,20.559138970
1400,42.07,20.543572401
1500,45.04,20.530079992
1600,48.02,20.518273080
1700,50.99,20.507854400
1800,53.97,20.498592709
1900,56.94,20.490305419
2000,59.91,20.482846445
2100,62.88,20.476097510
2200,65.86,20.469961837
2300,68.83,20.464359468
2400,71.80,20.459223769
2500,74.78,20.454498762
2600,77.75,20.450137077
2700,80.73,20.446098360
2800,83.71,20.442348020
2900,86.70,20.438856235
3000,89.67,20.435597158
3100,92.65,20.432548276
3200,95.62,20.429689890
3300,98.60,20.427004687
3400,101.58,20.424477391
3500,104.55,20.422094470
3600,107.52,20.419843897
3700,110.50,20.417714944
3800,113.50,20.415698011
3900,116.48,20.413784485
4000,119.47,20.411966610
4100,122.47,20.410237391
4200,125.47,20.408590496
4300,128.47,20.407020183
4400,131.47,20.405521232
4500,134.45,20.404088886
4600,137.45,20.402718802
4700,140.50,20.401407008
4800,143.50,20.400149860
4900,146.51,20.398944014
5000,149.51,20.397786391
5100,152.51,20.396674157
5200,155.52,20.395604694
5300,158.52,20.394575579
5400,161.53,20.393584573
5500,164.53,20.392629597
5600,167.55,20.391708721
5700,170.58,20.390820151
5800,173.59,20.389962216
5900,176.60,20.389133358
6000,179.60,20.388332125
6100,182.62,20.387557157
6200,185.63,20.386807184
6300,188.64,20.386081016
6400,191.66,20.385377537
6500,194.72,20.384695700
6600,197.72,20.384034522
6700,200.74,20.383393078
6800,203.75,20.382770497
6900,206.76,20.382165959
7000,209.77,20.381578691
7100,212.79,20.381007964
7200,215.79,20.380453087
7300,218.81,20.379913411
7400,221.82,20.379388319
7500,224.83,20.378877228
7600,227.85,20.378379584
7700,230.86,20.377894864
7800,233.87,20.377422572
7900,236.88,20.376962235
8000,239.88,20.376513405
8100,242.89,20.376075656
8200,245.91,20.375648582
8300,248.91,20.375231798
