# iteration,run time [seconds],cost
100,1.45,65.710669459
200,2.44,54.794961282
300,3.42,51.132215348
400,4.41,49.296275367
500,5.39,48.193245557
600,6.37,47.457280576
700,7.36,46.931291339
800,8.34,46.536635244
900,9.33,46.229583166
1000,10.31,45.983880155
1100,11.30,45.782809843
1200,12.28,45.615223347
1300,13.26,45.473399571
1400,14.25,45.351821873
1500,15.22,45.246443735
1600,16.21,45.154229637
1700,17.19,45.072857878
1800,18.17,45.000522406
1900,19.15,44.935797188
2000,20.13,44.877541258
2100,21.11,44.824830871
2200,22.09,44.776910160
2300,23.07,44.733154656
2400,24.06,44.693043926
2500,25.04,44.656140771
2600,26.02,44.622075229
2700,27.00,44.590532126
2800,27.98,44.561241298
2900,28.96,44.533969830
3000,29.94,44.508515854
3100,30.91,44.484703541
3200,31.89,44.462379033
3300,32.88,44.441407115
3400,33.86,44.421668476
3500,34.84,44.403057438
3600,35.82,44.385480059
3700,36.81,44.368852552
3800,37.79,44.353099946
3900,38.77,44.338154960
4000,39.75,44.323957036
4100,40.74,44.310451525
4200,41.72,44.297588980
4300,42.70,44.285324554
4400,43.69,44.273617476
4500,44.67,44.262430596
4600,45.65,44.251729997
4700,46.64,44.241484645
4800,47.62,44.231666094
4900,48.60,44.222248219
5000,49.59,44.213206983
5100,50.57,44.204520236
5200,51.56,44.196167531
5300,52.54,44.188129962
5400,53.53,44.180390026
5500,54.51,44.172931491
5600,55.50,44.165739285
5700,56.49,44.158799393
5800,57.47,44.152098766
5900,58.45,44.145625240
6000,59.44,44.139367463
6100,60.43,44.133314825
6200,61.42,44.127457402
6300,62.41,44.121785899
6400,63.41,44.116291603
6500,64.41,44.110966337
6600,65.40,44.105802418
6700,66.39,44.100792622
6800,67.38,44.095930152
6900,68.36,44.091208602
7000,69.35,44.086621935
7100,70.34,44.082164451
7200,71.33,44.077830769
7300,72.32,44.073615802
7400,73.30,44.069514738
7500,74.29,44.065523021
7600,75.28,44.061636335
7700,76.27,44.057850589
7800,77.25,44.054161900
7900,78.24,44.050566585
8000,79.24,44.047061141
8100,80.24,44.043642241
8200,81.23,44.040306718
8300,82.22,44.037051559
8400,83.20,44.033873896
8500,84.19,44.030770992
8600,85.18,44.027740240
8700,86.17,44.024779152
8800,87.18,44.021885355
8900,88.17,44.019056579
9000,89.18,44.016290658
9100,90.18,44.013585519
9200,91.17,44.010939182
9300,92.16,44.008349749
9400,93.16,44.005815405
9500,94.15,44.003334409
9600,95.15,44.000905096
9700,96.16,43.998525866
9800,97.16,43.996195187
9900,98.16,43.993911588
10000,99.19,43.991673656
10100,100.18,43.989480035
10200,101.18,43.987329422
10300,102.17,43.985220565
10400,103.18,43.983152259
10500,104.17,43.981123345
10600,105.17,43.979132709
10700,106.17,43.977179277
10800,107.17,43.975262017
10900,108.17,43.973379933
11000,109.16,43.971532066
11100,110.16,43.969717490
11200,111.20,43.967935315
11300,112.20,43.966184679
11400,113.20,43.964464754
11500,114.19,43.962774738
11600,115.19,43.961113858
