# iteration,run time [seconds],cost
100,0.83,21.047120768
200,1.18,20.393495179
300,1.53,20.174172307
400,1.89,20.064237401
500,2.24,19.998188685
600,2.59,19.954119575
700,2.96,19.922623677
800,3.32,19.898991924
900,3.67,19.880605843
1000,4.02,19.865893304
1100,4.37,19.853853343
1200,4.72,19.843818372
1300,5.07,19.835326055
1400,5.42,19.828046061
1500,5.77,19.821736085
1600,6.12,19.816214365
1700,6.47,19.811341876
1800,6.82,19.807010474
1900,7.17,19.803134770
2000,7.52,19.799646442
2100,7.86,19.796490178
2200,8.21,19.793620717
2300,8.56,19.791000665
2400,8.91,19.788598861
2500,9.26,19.786389123
2600,9.61,19.784349301
2700,9.96,19.782460520
2800,10.31,19.780706604
2900,10.66,19.779073606
3000,11.01,19.777549438
3100,11.36,19.776123572
3200,11.71,19.774786795
3300,12.06,19.773531010
3400,12.41,19.772349073
3500,12.76,19.771234656
3600,13.11,19.770182134
3700,13.46,19.769186489
3800,13.80,19.768243234
3900,14.15,19.767348337
4000,14.50,19.766498175
4100,14.85,19.765689474
4200,15.20,19.764919273
4300,15.55,19.764184887
4400,15.90,19.763483874
4500,16.25,19.762814011
4600,16.59,19.762173266
4700,16.95,19.761559781
4800,17.29,19.760971853
4900,17.64,19.760407916
5000,17.99,19.759866533
5100,18.34,19.759346376
5200,18.69,19.758846221
5300,19.04,19.758364937
5400,19.39,19.757901475
5500,19.74,19.757454862
5600,20.09,19.757024198
5700,20.44,19.756608641
5800,20.79,19.756207412
5900,21.14,19.755819782
6000,21.49,19.755445070
6100,21.84,19.755082642
6200,22.19,19.754731903
6300,22.53,19.754392297
6400,22.88,19.754063302
6500,23.23,19.753744429
6600,23.58,19.753435217
6700,23.93,19.753135233
6800,24.27,19.752844072
6900,24.62,19.752561348
7000,24.98,19.752286702
7100,25.33,19.752019790
7200,25.68,19.751760292
7300,26.03,19.751507903
7400,26.38,19.751262334
7500,26.73,19.751023312
7600,27.08,19.750790580
7700,27.42,19.750563892
7800,27.77,19.750343016
7900,28.12,19.750127730
8000,28.47,19.749917827
8100,28.82,19.749713105
8200,29.17,19.749513376
8300,29.52,19.749318459
8400,29.87,19.749128183
8500,30.22,19.748942383
8600,30.57,19.748760903
8700,30.92,19.748583595
8800,31.27,19.748410317
8900,31.62,19.748240931
9000,31.98,19.748075310
9100,32.33,19.747913328
9200,32.68,19.747754867
9300,33.03,19.747599813
9400,33.39,19.747448058
9500,33.74,19.747299498
9600,34.09,19.747154032
9700,34.44,19.747011566
9800,34.80,19.746872006
9900,35.15,19.746735266
10000,35.50,19.746601260
10100,35.85,19.746469907
10200,36.21,19.746341130
10300,36.55,19.746214853
10400,36.90,19.746091004
10500,37.25,19.745969514
10600,37.60,19.745850316
10700,37.95,19.745733346
10800,38.30,19.745618541
10900,38.65,19.745505843
11000,39.00,19.745395194
11100,39.35,19.745286539
11200,39.70,19.745179823
11300,40.05,19.745074996
11400,40.40,19.744972008
11500,40.74,19.744870811
11600,41.09,19.744771359
11700,41.44,19.744673606
11800,41.79,19.744577510
11900,42.14,19.744483029
12000,42.49,19.744390123
12100,42.84,19.744298752
12200,43.19,19.744208879
12300,43.54,19.744120467
12400,43.89,19.744033481
12500,44.24,19.743947887
12600,44.59,19.743863651
12700,44.94,19.743780741
12800,45.29,19.743699127
12900,45.65,19.743618779
13000,46.00,19.743539666
13100,46.35,19.743461761
13200,46.69,19.743385036
13300,47.04,19.743309465
13400,47.39,19.743235022
13500,47.74,19.743161682
13600,48.08,19.743089420
13700,48.43,19.743018213
13800,48.78,19.742948037
13900,49.12,19.742878872
14000,49.47,19.742810694
14100,49.82,19.742743484
14200,50.17,19.742677220
14300,50.52,19.742611882
14400,50.87,19.742547453
14500,51.21,19.742483911
14600,51.57,19.742421240
14700,51.92,19.742359422
14800,52.27,19.742298439
14900,52.62,19.742238275
15000,52.97,19.742178912
15100,53.32,19.742120336
15200,53.67,19.742062531
15300,54.02,19.742005481
15400,54.37,19.741949172
15500,54.72,19.741893590
15600,55.08,19.741838720
15700,55.43,19.741784549
15800,55.78,19.741731063
15900,56.13,19.741678251
16000,56.48,19.741626098
16100,56.83,19.741574594
16200,57.18,19.741523725
16300,57.53,19.741473480
16400,57.88,19.741423848
16500,58.23,19.741374818
16600,58.58,19.741326378
16700,58.93,19.741278518
16800,59.28,19.741231228
16900,59.63,19.741184498
17000,59.97,19.741138317
17100,60.32,19.741092677
17200,60.67,19.741047567
17300,61.02,19.741002979
17400,61.37,19.740958903
17500,61.72,19.740915330
17600,62.07,19.740872253
17700,62.42,19.740829663
17800,62.77,19.740787551
17900,63.12,19.740745910
18000,63.47,19.740704731
18100,63.82,19.740664007
18200,64.18,19.740623731
18300,64.53,19.740583895
18400,64.88,19.740544492
18500,65.23,19.740505515
18600,65.58,19.740466957
18700,65.93,19.740428811
18800,66.28,19.740391071
18900,66.62,19.740353731
19000,66.98,19.740316783
19100,67.33,19.740280223
19200,67.68,19.740244043
19300,68.02,19.740208238
19400,68.37,19.740172802
19500,68.72,19.740137730
19600,69.07,19.740103015
19700,69.43,19.740068653
19800,69.78,19.740034638
19900,70.13,19.740000965
20000,70.48,19.739967628
20100,70.83,19.739934623
20200,71.19,19.739901945
20300,71.54,19.739869589
20400,71.89,19.739837550
20500,72.24,19.739805824
20600,72.59,19.739774406
20700,72.94,19.739743291
20800,73.29,19.739712475
20900,73.65,19.739681955
21000,74.00,19.739651724
21100,74.35,19.739621781
21200,74.70,19.739592120
21300,75.05,19.739562737
21400,75.40,19.739533629
21500,75.75,19.739504792
21600,76.10,19.739476222
21700,76.45,19.739447915
21800,76.80,19.739419867
21900,77.15,19.739392076
22000,77.50,19.739364538
22100,77.85,19.739337249
22200,78.20,19.739310205
