# iteration,run time [seconds],cost
100,1.40,54.297833176
200,2.34,43.634833425
300,3.28,40.056883342
400,4.22,38.263447017
500,5.16,37.185953336
600,6.10,36.467026604
700,7.04,35.953214489
800,7.98,35.567695037
900,8.93,35.267751489
1000,9.87,35.027736723
1100,10.82,34.831321369
1200,11.76,34.667614650
1300,12.70,34.529074222
1400,13.64,34.410311156
1500,14.58,34.307372617
1600,15.52,34.217293358
1700,16.45,34.137805428
1800,17.39,34.067144587
1900,18.34,34.003917816
2000,19.28,33.947010563
2100,20.22,33.895520468
2200,21.16,33.848709165
2300,22.09,33.805966640
2400,23.03,33.766784509
2500,23.97,33.730735695
2600,24.91,33.697458801
2700,25.85,33.666645950
2800,26.79,33.638033230
2900,27.73,33.611393121
3000,28.68,33.586528428
3100,29.62,33.563267391
3200,30.55,33.541459715
3300,31.49,33.520973316
3400,32.43,33.501691645
3500,33.37,33.483511468
3600,34.31,33.466341022
3700,35.26,33.450098456
3800,36.20,33.434710538
3900,37.14,33.420111541
4000,38.09,33.406242312
4100,39.04,33.393049465
4200,39.98,33.380484700
4300,40.91,33.368504206
4400,41.86,33.357068157
4500,42.80,33.346140264
4600,43.74,33.335687393
4700,44.68,33.325679231
4800,45.62,33.316087988
4900,46.56,33.306888145
5000,47.49,33.298056222
5100,48.43,33.289570581
5200,49.37,33.281411248
5300,50.30,33.273559756
5400,51.24,33.265999007
5500,52.17,33.258713144
5600,53.11,33.251687444
5700,54.05,33.244908216
5800,54.99,33.238362714
5900,55.93,33.232039057
6000,56.87,33.225926153
6100,57.83,33.220013639
6200,58.80,33.214291820
6300,59.75,33.208751618
6400,60.71,33.203384520
6500,61.66,33.198182538
6600,62.62,33.193138168
6700,63.57,33.188244354
6800,64.52,33.183494454
6900,65.47,33.178882213
7000,66.43,33.174401731
7100,67.38,33.170047442
7200,68.34,33.165814089
7300,69.30,33.161696702
7400,70.25,33.157690581
7500,71.21,33.153791275
7600,72.16,33.149994570
7700,73.12,33.146296467
7800,74.08,33.142693175
7900,75.04,33.139181094
8000,75.99,33.135756805
8100,76.94,33.132417055
8200,77.89,33.129158753
8300,78.84,33.125978954
8400,79.80,33.122874856
8500,80.75,33.119843787
8600,81.71,33.116883200
8700,82.66,33.113990664
8800,83.62,33.111163861
8900,84.58,33.108400573
9000,85.54,33.105698686
9100,86.49,33.103056174
9200,87.45,33.100471102
9300,88.41,33.097941616
9400,89.37,33.095465944
9500,90.32,33.093042386
9600,91.27,33.090669313
9700,92.23,33.088345165
9800,93.18,33.086068443
9900,94.13,33.083837711
10000,95.09,33.081651590
10100,96.05,33.079508753
10200,97.01,33.077407929
10300,97.97,33.075347894
10400,98.93,33.073327470
10500,99.88,33.071345528
10600,100.84,33.069400977
10700,101.81,33.067492769
10800,102.77,33.065619895
10900,103.73,33.063781383
11000,104.69,33.061976295
11100,105.65,33.060203729
11200,106.61,33.058462812
11300,107.57,33.056752706
11400,108.53,33.055072598
11500,109.49,33.053421708
11600,110.45,33.051799279
11700,111.41,33.050204581
11800,112.37,33.048636909
11900,113.33,33.047095583
12000,114.29,33.045579943
12100,115.25,33.044089354
12200,116.20,33.042623198
12300,117.16,33.041180880
12400,118.13,33.039761823
12500,119.10,33.038365470
12600,120.05,33.036991279
12700,121.01,33.035638727
12800,121.97,33.034307307
12900,122.94,33.032996528
13000,123.90,33.031705913
13100,124.86,33.030435001
13200,125.82,33.029183343
13300,126.79,33.027950506
13400,127.75,33.026736068
13500,128.71,33.025539620
13600,129.68,33.024360766
13700,130.64,33.023199121
13800,131.61,33.022054309
13900,132.57,33.020925968
14000,133.53,33.019813746
14100,134.49,33.018717298
14200,135.45,33.017636292
14300,136.42,33.016570405
14400,137.38,33.015519320
14500,138.35,33.014482732
14600,139.31,33.013460342
14700,140.28,33.012451862
14800,141.25,33.011457009
14900,142.22,33.010475509
15000,143.19,33.009507095
15100,144.15,33.008551506
15200,145.12,33.007608491
15300,146.09,33.006677801
15400,147.06,33.005759198
15500,148.02,33.004852446
15600,148.99,33.003957319
15700,149.96,33.003073594
15800,150.92,33.002201055
15900,151.90,33.001339491
16000,152.87,33.000488695
16100,153.84,32.999648467
16200,154.80,32.998818613
16300,155.77,32.997998939
16400,156.74,32.997189261
16500,157.71,32.996389397
16600,158.68,32.995599170
16700,159.65,32.994818405
16800,160.63,32.994046935
16900,161.61,32.993284594
17000,162.59,32.992531221
17100,163.57,32.991786659
17200,164.54,32.991050754
17300,165.51,32.990323356
17400,166.48,32.989604319
17500,167.46,32.988893499
17600,168.43,32.988190756
17700,169.40,32.987495953
17800,170.36,32.986808956
17900,171.33,32.986129635
18000,172.31,32.985457861
18100,173.28,32.984793510
18200,174.24,32.984136459
18300,175.22,32.983486589
18400,176.19,32.982843782
