2.525000000000000000e+01 2.254999923706054688e+01
2.897500038146972656e+01 2.570000076293945312e+01
2.832500076293945312e+01 2.512500000000000000e+01
2.560000038146972656e+01 2.312500000000000000e+01
2.772500038146972656e+01 2.397500038146972656e+01
2.504999923706054688e+01 2.222500038146972656e+01
2.635000038146972656e+01 2.300000000000000000e+01
2.600000000000000000e+01 2.382500076293945312e+01
2.877499961853027344e+01 2.500000000000000000e+01
2.854999923706054688e+01 2.432500076293945312e+01
2.595000076293945312e+01 2.329999923706054688e+01
2.760000038146972656e+01 2.360000038146972656e+01
2.685000038146972656e+01 2.339999961853027344e+01
2.757500076293945312e+01 2.479999923706054688e+01
2.897500038146972656e+01 2.375000000000000000e+01
2.937500000000000000e+01 2.607500076293945312e+01
2.737500000000000000e+01 2.447500038146972656e+01
2.650000000000000000e+01 2.342499923706054688e+01
2.602499961853027344e+01 2.257500076293945312e+01
2.892499923706054688e+01 2.607500076293945312e+01
2.857500076293945312e+01 2.527499961853027344e+01
2.587500000000000000e+01 2.332500076293945312e+01
2.645000076293945312e+01 2.307500076293945312e+01
2.907500076293945312e+01 2.627499961853027344e+01
3.085000038146972656e+01 2.645000076293945312e+01
2.827499961853027344e+01 2.462500000000000000e+01
2.829999923706054688e+01 2.457500076293945312e+01
2.625000000000000000e+01 2.310000038146972656e+01
2.570000076293945312e+01 2.310000038146972656e+01
2.460000038146972656e+01 2.097500038146972656e+01
2.870000076293945312e+01 2.495000076293945312e+01
2.792499923706054688e+01 2.412500000000000000e+01
2.664999961853027344e+01 2.342499923706054688e+01
2.637500000000000000e+01 2.329999923706054688e+01
2.645000076293945312e+01 2.372500038146972656e+01
2.750000000000000000e+01 2.400000000000000000e+01
2.745000076293945312e+01 2.339999961853027344e+01
2.789999961853027344e+01 2.542499923706054688e+01
2.362500000000000000e+01 2.129999923706054688e+01
2.647500038146972656e+01 2.242499923706054688e+01
2.939999961853027344e+01 2.462500000000000000e+01
2.772500038146972656e+01 2.395000076293945312e+01
2.560000038146972656e+01 2.222500038146972656e+01
2.554999923706054688e+01 2.117499923706054688e+01
2.627499961853027344e+01 2.357500076293945312e+01
2.760000038146972656e+01 2.364999961853027344e+01
2.625000000000000000e+01 2.362500000000000000e+01
2.625000000000000000e+01 2.370000076293945312e+01
2.952499961853027344e+01 2.452499961853027344e+01
2.814999961853027344e+01 2.425000000000000000e+01
2.864999961853027344e+01 2.567499923706054688e+01
2.762500000000000000e+01 2.422500038146972656e+01
2.552499961853027344e+01 2.189999961853027344e+01
2.672500038146972656e+01 2.352499961853027344e+01
2.739999961853027344e+01 2.337500000000000000e+01
2.802499961853027344e+01 2.482500076293945312e+01
2.557500076293945312e+01 2.164999961853027344e+01
2.827499961853027344e+01 2.420000076293945312e+01
2.789999961853027344e+01 2.454999923706054688e+01
2.675000000000000000e+01 2.370000076293945312e+01
2.550000000000000000e+01 2.395000076293945312e+01
2.422500038146972656e+01 2.214999961853027344e+01
2.747500038146972656e+01 2.482500076293945312e+01
2.792499923706054688e+01 2.435000038146972656e+01
2.864999961853027344e+01 2.410000038146972656e+01
2.717499923706054688e+01 2.452499961853027344e+01
2.867499923706054688e+01 2.527499961853027344e+01
2.560000038146972656e+01 2.170000076293945312e+01
2.702499961853027344e+01 2.410000038146972656e+01
2.579999923706054688e+01 2.314999961853027344e+01
2.900000000000000000e+01 2.582500076293945312e+01
2.907500076293945312e+01 2.539999961853027344e+01
2.782500076293945312e+01 2.450000000000000000e+01
2.762500000000000000e+01 2.410000038146972656e+01
2.670000076293945312e+01 2.302499961853027344e+01
2.712500000000000000e+01 2.372500038146972656e+01
2.452499961853027344e+01 2.067499923706054688e+01
2.504999923706054688e+01 2.264999961853027344e+01
2.832500076293945312e+01 2.522500038146972656e+01
2.667499923706054688e+01 2.312500000000000000e+01
2.607500076293945312e+01 2.387500000000000000e+01
2.600000000000000000e+01 2.342499923706054688e+01
2.872500038146972656e+01 2.504999923706054688e+01
2.737500000000000000e+01 2.357500076293945312e+01
2.692499923706054688e+01 2.342499923706054688e+01
2.727499961853027344e+01 2.245000076293945312e+01
2.889999961853027344e+01 2.514999961853027344e+01
2.589999961853027344e+01 2.247500038146972656e+01
2.720000076293945312e+01 2.400000000000000000e+01
2.707500076293945312e+01 2.375000000000000000e+01
2.817499923706054688e+01 2.402499961853027344e+01
2.707500076293945312e+01 2.279999923706054688e+01
2.514999961853027344e+01 2.260000038146972656e+01
2.752499961853027344e+01 2.429999923706054688e+01
2.722500038146972656e+01 2.275000000000000000e+01
2.529999923706054688e+01 2.260000038146972656e+01
2.595000076293945312e+01 2.239999961853027344e+01
2.700000000000000000e+01 2.402499961853027344e+01
2.835000038146972656e+01 2.429999923706054688e+01
2.735000038146972656e+01 2.270000076293945312e+01
2.785000038146972656e+01 2.462500000000000000e+01
2.885000038146972656e+01 2.577499961853027344e+01
2.614999961853027344e+01 2.307500076293945312e+01
2.770000076293945312e+01 2.420000076293945312e+01
2.622500038146972656e+01 2.417499923706054688e+01
2.852499961853027344e+01 2.517499923706054688e+01
2.872500038146972656e+01 2.502499961853027344e+01
2.439999961853027344e+01 2.192499923706054688e+01
2.520000076293945312e+01 2.192499923706054688e+01
3.107500076293945312e+01 2.697500038146972656e+01
2.614999961853027344e+01 2.327499961853027344e+01
2.617499923706054688e+01 2.302499961853027344e+01
2.612500000000000000e+01 2.379999923706054688e+01
2.750000000000000000e+01 2.357500076293945312e+01
2.595000076293945312e+01 2.339999961853027344e+01
2.777499961853027344e+01 2.354999923706054688e+01
2.829999923706054688e+01 2.435000038146972656e+01
2.577499961853027344e+01 2.185000038146972656e+01
2.897500038146972656e+01 2.475000000000000000e+01
2.567499923706054688e+01 2.200000000000000000e+01
2.772500038146972656e+01 2.445000076293945312e+01
2.520000076293945312e+01 2.154999923706054688e+01
2.689999961853027344e+01 2.400000000000000000e+01
2.779999923706054688e+01 2.475000000000000000e+01
2.907500076293945312e+01 2.507500076293945312e+01
2.910000038146972656e+01 2.535000038146972656e+01
2.657500076293945312e+01 2.289999961853027344e+01
2.762500000000000000e+01 2.507500076293945312e+01
2.750000000000000000e+01 2.389999961853027344e+01
2.604999923706054688e+01 2.262500000000000000e+01
2.482500076293945312e+01 2.167499923706054688e+01
2.622500038146972656e+01 2.287500000000000000e+01
2.875000000000000000e+01 2.485000038146972656e+01
2.552499961853027344e+01 2.252499961853027344e+01
2.929999923706054688e+01 2.622500038146972656e+01
2.654999923706054688e+01 2.370000076293945312e+01
2.620000076293945312e+01 2.325000000000000000e+01
2.672500038146972656e+01 2.275000000000000000e+01
2.485000038146972656e+01 2.139999961853027344e+01
2.750000000000000000e+01 2.452499961853027344e+01
2.772500038146972656e+01 2.357500076293945312e+01
2.702499961853027344e+01 2.400000000000000000e+01
2.625000000000000000e+01 2.250000000000000000e+01
2.935000038146972656e+01 2.507500076293945312e+01
2.532500076293945312e+01 2.312500000000000000e+01
2.600000000000000000e+01 2.167499923706054688e+01
2.629999923706054688e+01 2.339999961853027344e+01
2.777499961853027344e+01 2.454999923706054688e+01
2.702499961853027344e+01 2.389999961853027344e+01
2.742499923706054688e+01 2.467499923706054688e+01
2.627499961853027344e+01 2.367499923706054688e+01
2.872500038146972656e+01 2.427499961853027344e+01
2.887500000000000000e+01 2.510000038146972656e+01
2.762500000000000000e+01 2.450000000000000000e+01
2.652499961853027344e+01 2.252499961853027344e+01
2.747500038146972656e+01 2.335000038146972656e+01
2.707500076293945312e+01 2.352499961853027344e+01
2.714999961853027344e+01 2.317499923706054688e+01
2.425000000000000000e+01 2.239999961853027344e+01
2.747500038146972656e+01 2.377499961853027344e+01
2.829999923706054688e+01 2.322500038146972656e+01
2.522500038146972656e+01 2.235000038146972656e+01
2.777499961853027344e+01 2.497500038146972656e+01
2.954999923706054688e+01 2.502499961853027344e+01
2.712500000000000000e+01 2.325000000000000000e+01
2.570000076293945312e+01 2.285000038146972656e+01
2.572500038146972656e+01 2.347500038146972656e+01
2.857500076293945312e+01 2.620000076293945312e+01
2.854999923706054688e+01 2.492499923706054688e+01
2.532500076293945312e+01 2.229999923706054688e+01
2.727499961853027344e+01 2.345000076293945312e+01
2.775000000000000000e+01 2.507500076293945312e+01
2.570000076293945312e+01 2.275000000000000000e+01
2.564999961853027344e+01 2.314999961853027344e+01
2.910000038146972656e+01 2.527499961853027344e+01
2.372500038146972656e+01 2.207500076293945312e+01
2.545000076293945312e+01 2.262500000000000000e+01
2.839999961853027344e+01 2.447500038146972656e+01
2.867499923706054688e+01 2.402499961853027344e+01
2.504999923706054688e+01 2.347500038146972656e+01
2.864999961853027344e+01 2.392499923706054688e+01
2.404999923706054688e+01 2.250000000000000000e+01
2.422500038146972656e+01 2.325000000000000000e+01
2.710000038146972656e+01 2.402499961853027344e+01
2.729999923706054688e+01 2.402499961853027344e+01
2.577499961853027344e+01 2.292499923706054688e+01
2.827499961853027344e+01 2.460000038146972656e+01
2.829999923706054688e+01 2.452499961853027344e+01
2.682500076293945312e+01 2.414999961853027344e+01
2.832500076293945312e+01 2.479999923706054688e+01
2.945000076293945312e+01 2.554999923706054688e+01
2.729999923706054688e+01 2.337500000000000000e+01
2.987500000000000000e+01 2.575000000000000000e+01
2.827499961853027344e+01 2.497500038146972656e+01
2.592499923706054688e+01 2.260000038146972656e+01
2.914999961853027344e+01 2.529999923706054688e+01
